শাংথনা	ꯁꯥꯡꯊꯅꯥ
লৈরবা	ꯂꯩꯔꯕꯥ
নুইলেন্দ	ꯅꯨꯢꯂꯦꯟ꯭ꯗ
বাবিনা	ꯕꯥꯕꯤꯅꯥ
গাইদিনজাং	ꯒꯥꯢꯗꯤꯟꯖꯥꯡ
য়াওজবী	ꯌꯥꯎꯖꯕꯤ
মবোক্সি	ꯃꯕꯣꯛꯁꯤ
পীরকপনা	ꯄꯤꯔꯛꯄꯅꯥ
থাদরবদি	ꯊꯥꯗꯔꯕꯗꯤ
খুত্পায়	ꯈꯨꯠꯄꯥꯢ
টেলি	ꯇꯦꯂꯤ
হাপ্নবগী	ꯍꯥꯞꯅꯕꯒꯤ
নহুম	ꯅꯍꯨꯝ
কুম্থখিবদা	ꯀꯨꯝꯊꯈꯤꯕꯗꯥ
মঙাসিনা	ꯃꯉꯥꯁꯤꯅꯥ
সিদার্থানগরদা	ꯁꯤꯗꯥꯔꯊꯥꯅꯒꯔꯗꯥ
সিষ্টেমশিং	ꯁꯤꯁꯇꯦꯝꯁꯤꯡ
লুহোংলবা	ꯂꯨꯍꯣꯡꯂꯕꯥ
গাংমৈগী	ꯒꯥꯡꯃꯩꯒꯤ
ভোলুম	ꯚꯣꯂꯨꯝ
রাইওতাংদা	ꯔꯥꯢꯑꯣꯇꯥꯡꯗꯥ
অয়েক্	ꯑꯌꯦꯛ
চেঞ্জগী	ꯆꯦꯟ꯭ꯖꯒꯤ
মোইরাং	ꯃꯣꯢꯔꯥꯡ
চক্রাবরতিনা	ꯆꯀ꯭ꯔꯥꯕꯔꯇꯤꯅꯥ
শোকহল্লিবনো	ꯁꯣꯛꯍꯜꯂꯤꯕꯅꯣ
অকাশবানিনসু	ꯑꯀꯥꯁꯕꯥꯅꯤꯅꯁꯨ
পীখৎলকখিবা	ꯄꯤꯈꯠꯂꯛꯈꯤꯕꯥ
চারহজারদা	ꯆꯥꯔꯍꯖꯥꯔꯗꯥ
কনদুনা	ꯀꯟꯗꯨꯅꯥ
কয়াদি	ꯀꯌꯥꯗꯤ
স্ত্রাইক	ꯁ꯭ꯇ꯭ꯔꯥꯢꯛ
হায়ৱেশিংদা	ꯍꯥꯢꯋꯦꯁꯤꯡꯗꯥ
বোরোলেনগী	ꯕꯣꯔꯣꯂꯦꯟꯒꯤ
অসিমত্তা	ꯑꯁꯤꯃꯠꯇꯥ
সেদু্যল	ꯁꯦꯗꯨꯢꯜ
মমীত্শিংদু	ꯃꯃꯤꯠꯁꯤꯡꯗꯨ
মক্ষাত	ꯃꯛꯁꯥꯠ
অমনবা	ꯑꯃꯟꯕꯥ
তুবুম্শিং	ꯇꯨꯕꯨꯝꯁꯤꯡ
লাকশিনদুনা	ꯂꯥꯀꯁꯤꯅꯗꯨꯅꯥ
য়ূনাইতেদ	ꯌꯨꯅꯥꯢꯇꯦꯗ
লোয়নবীনা	ꯂꯣꯢꯅꯕꯤꯅꯥ
চথনবা	ꯆꯊꯟꯕꯥ
পঙ্তম্তা	ꯄꯪꯇꯝꯇꯥ
চারিবা	ꯆꯥꯔꯤꯕꯥ
মিনরদসু	ꯃꯤꯅꯔꯗꯁꯨ
ফংহনখি	ꯐꯪꯍꯟꯈꯤ
চৈরাউবনা	ꯆꯩꯔꯥꯎꯕꯅꯥ
ত্রেন্নর	ꯇ꯭ꯔꯦꯟꯅꯔ
এটেন্সন	ꯑꯦꯇꯦꯟꯁꯟ
হেনগৎহনখিবা	ꯍꯦꯟꯒꯠꯍꯟꯈꯤꯕꯥ
বোকাজানদগী	ꯕꯣꯀꯥꯖꯥꯟꯗꯒꯤ
অমাসু	ꯑꯃꯥꯁꯨ
সেসনগীদমক	ꯁꯦꯁꯟꯒꯤꯗꯃꯛ
পঞ্চকী	ꯄꯟ꯭ꯆꯀꯤ
তরেত্কী	ꯇꯔꯦꯠꯀꯤ
রুপা	ꯔꯨꯄꯥ
সট্টল	ꯁꯠꯇꯜ
ভেঞ্চর	ꯚꯦꯟꯆꯔ
ভিনিট	ꯚꯤꯅꯤꯠ
প্রোক্লোশিং	ꯄ꯭ꯔꯣꯛꯂꯣꯁꯤꯡ
সফর	ꯁꯐꯔ
হার্দ	ꯍꯥꯔ꯭ꯗ
ৱার্কসোপকী	ꯋꯥꯔ꯭ꯀꯁꯣꯞꯀꯤ
য্যোতিনা	ꯖ꯭ꯌꯣꯇꯤꯅꯥ
কন্ধারদগীনি	ꯀꯟꯙꯥꯔꯗꯒꯤꯅꯤ
ফিলমশিংসু	ꯐꯤꯂꯝꯁꯤꯡꯁꯨ
ঙম্লকপনি	ꯉꯝꯂꯛꯄꯅꯤ
শাজেন	ꯁꯥꯖꯦꯟ
ত্রেনরশিংগী	ꯇ꯭ꯔꯦꯅꯔꯁꯤꯡꯒꯤ
তাক্লরে	ꯇꯥꯛꯂꯔꯦ
হেনগৎহল্লকপা	ꯍꯦꯟꯒꯠꯍꯜꯂꯛꯄꯥ
হন্জিন্বোইরে	ꯍꯟꯖꯤꯟꯕꯣꯢꯔꯦ
মাকুইলুৱাংদি	ꯃꯥꯀꯨꯢꯂꯨꯋꯥꯡꯗꯤ
সর্জিকেল	ꯁꯔꯖꯤꯀꯦꯜ
শুখ্রে	ꯁꯨꯈ꯭ꯔꯦ
হাায়	ꯍꯥꯢ
জিংতুন	ꯖꯤꯡꯇꯨꯟ
ধরাপুরমদা	ꯙꯔꯥꯄꯨꯔꯝꯗꯥ
মাবু	ꯃꯥꯕꯨ
খোঙচৎকী	ꯈꯣꯡꯆꯠꯀꯤ
তেন্থাদগী	ꯇꯦꯟꯊꯥꯗꯒꯤ
সুট্টিং	ꯁꯨꯠꯇꯤꯡ
উৎখিবনি	ꯎꯠꯈꯤꯕꯅꯤ
তেখেল্লম্বনা	ꯇꯦꯈꯦꯜꯂꯝꯕꯅꯥ
বঙ্গভবনদা	ꯕꯪꯒꯚꯕꯟꯗꯥ
তুক্রে	ꯇꯨꯀ꯭ꯔꯦ
তল্দি	ꯇꯜꯗꯤ
জেন্তিয়া	ꯖꯦꯟꯇꯤꯌꯥ
অবুদাবিদা	ꯑꯕꯨꯗꯥꯕꯤꯗꯥ
তেরিতোরি	ꯇꯦꯔꯤꯇꯣꯔꯤ
মিলিটেন্টশিং	ꯃꯤꯂꯤꯇꯦꯟ꯭ꯇꯁꯤꯡ
গভরনান্স	ꯒꯚꯔꯅꯥꯟ꯭ꯁ
ইনভাইরোনমেনতেল	ꯏꯟꯚꯥꯢꯔꯣꯟꯃꯦꯟꯇꯦꯜ
শগোলমাং	ꯁꯒꯣꯜꯃꯥꯡ
য়ুশিং	ꯌꯨꯁꯤꯡ
ভেন্দরস	ꯚꯦꯟꯗꯔꯁ
কুমওনগা	ꯀꯨꯝꯑꯣꯟꯒꯥ
এনঐচএম	ꯑꯦꯟꯑꯩꯆꯑꯦꯝ
থম্মোয়গী	ꯊꯝꯃꯣꯢꯒꯤ
তৌরবা	ꯇꯧꯔꯕꯥ
ব্রাউনসুগরনি	ꯕ꯭ꯔꯥꯎꯟꯁꯨꯒꯔꯅꯤ
পাইহনখ্রে	ꯄꯥꯢꯍꯟꯈ꯭ꯔꯦ
মুৎথৎখিবনি	ꯃꯨꯠꯊꯠꯈꯤꯕꯅꯤ
য়োংচাকশিং	ꯌꯣꯡꯆꯥꯛꯁꯤꯡ
ইহাক্থক্কী	ꯏꯍꯥꯛꯊꯛꯀꯤ
নরমাদাগী	ꯅꯔꯃꯥꯗꯥꯒꯤ
পীবীরকপগীদমক	ꯄꯤꯕꯤꯔꯛꯄꯒꯤꯗꯃꯛ
অহমেদবাদতসু	ꯑꯍꯃꯦꯗꯕꯥꯗꯇꯁꯨ
নিংলকপা	ꯅꯤꯡꯂꯛꯄꯥ
থম্মোাইদা	ꯊꯝꯃꯣꯢꯗꯥ
চান্দ	ꯆꯥꯟ꯭ꯗ
বার্তন	ꯕꯥꯔꯇꯟ
বাইওফারমাসিউতিকেল	ꯕꯥꯢꯑꯣꯐꯥꯔꯃꯥꯁꯤꯎꯇꯤꯀꯦꯜ
তাপ	ꯇꯥꯞ
দেশ	ꯗꯦꯁ
ফোংদোকখিবসি	ꯐꯣꯡꯗꯣꯛꯈꯤꯕꯁꯤ
সনচায়ি	ꯁꯟꯆꯥꯌꯤ
অদুগীদমক্তসু	ꯑꯗꯨꯒꯤꯗꯃꯛꯇꯁꯨ
লায়্রবনা	ꯂꯥꯢꯔꯕꯅꯥ
চঙ্লক্ই	ꯆꯪꯂꯛꯏ
থোন্বিরে	ꯊꯣꯟꯕꯤꯔꯦ
নিংথৌখোংজম	ꯅꯤꯡꯊꯧꯈꯣꯡꯖꯝ
নি	ꯅꯤ
ব্রোক	ꯕ꯭ꯔꯣꯛ
কৎথোকলবা	ꯀꯠꯊꯣꯛꯂꯕꯥ
কুহ্মৈনা	ꯀꯨꯍꯃꯩꯅꯥ
বেকোফ	ꯕꯦꯀꯣꯐ
প্রোতেলদা	ꯄ꯭ꯔꯣꯇꯦꯜꯗꯥ
সুসিলদ্রো	ꯁꯨꯁꯤꯜꯗ꯭ꯔꯣ
গাইরাংলুংনা	ꯒꯥꯢꯔꯥꯡꯂꯨꯡꯅꯥ
থােঙনাও	ꯊꯣꯡꯅꯥꯎ
কুম্বিসু	ꯀꯨꯝꯕꯤꯁꯨ
চোংশিন্খিদুনা	ꯆꯣꯡꯁꯤꯟꯈꯤꯗꯨꯅꯥ
কৌশিল্লগা	ꯀꯧꯁꯤꯜꯂꯒꯥ
ৱাংমতাবা	ꯋꯥꯡꯃꯇꯥꯕꯥ
নিকিতা	ꯅꯤꯀꯤꯇꯥ
টাইনসোংনা	ꯇꯥꯢꯟꯁꯣꯡꯅꯥ
নেলগ্রিমসতা	ꯅꯦꯂꯒ꯭ꯔꯤꯝꯁꯇꯥ
ফোঙদোককপা	ꯐꯣꯉꯗꯣꯀꯛꯄꯥ
বাউন্দরিগী	ꯕꯥꯎꯟꯗꯔꯤꯒꯤ
লাইশুগী	ꯂꯥꯢꯁꯨꯒꯤ
পার্ফোমিং	ꯄꯥꯔꯐꯣꯃꯤꯡ
লাকশিন্ননবগী	ꯂꯥꯛꯁꯤꯟꯅꯟꯕꯒꯤ
সন্তোসনা	ꯁꯟꯇꯣꯁꯅꯥ
উপায়সু	ꯎꯄꯥꯢꯁꯨ
লম্পাক	ꯂꯝꯄꯥꯛ
রনজিৎ	ꯔꯟꯖꯤꯠ
তেনবা	ꯇꯦꯟꯕꯥ
প্রোটেক্সন	ꯄ꯭ꯔꯣꯇꯦꯛꯁꯟ
পিলরশিং	ꯄꯤꯂꯔꯁꯤꯡ
দলশিংদগী	ꯗꯜꯁꯤꯡꯗꯒꯤ
লৈনরে	ꯂꯩꯅꯔꯦ
নেসনসকা	ꯅꯦꯁꯟꯁꯀꯥ
সসপেন্সন	ꯁꯁꯄꯦꯟꯁꯟ
পেরালেম্পিক্তা	ꯄꯦꯔꯥꯂꯦꯝꯄꯤꯛꯇꯥ
হৌরকলবদি	ꯍꯧꯔꯛꯂꯕꯗꯤ
আজয়	ꯑꯥꯖꯌ
লৈরক্লে	ꯂꯩꯔꯛꯂꯦ
চাথোক্	ꯆꯥꯊꯣꯛ
থোকহল্লবশিংদা	ꯊꯣꯛꯍꯜꯂꯕꯁꯤꯡꯗꯥ
মিজোরমগা	ꯃꯤꯖꯣꯔꯝꯒꯥ
লৈমিন্নরবা	ꯂꯩꯃꯤꯟꯅꯔꯕꯥ
কাপুরদা	ꯀꯥꯄꯨꯔꯗꯥ
পীথোকনবা	ꯄꯤꯊꯣꯛꯅꯕꯥ
বোক্সরনি	ꯕꯣꯛꯁꯔꯅꯤ
নৈনহন্নিংবগী	ꯅꯩꯅꯍꯟꯅꯤꯡꯕꯒꯤ
ফ্রাইদেকী	ꯐ꯭ꯔꯥꯢꯗꯦꯀꯤ
থানবসু	ꯊꯥꯅꯕꯁꯨ
হাঙ্দুনা	ꯍꯥꯡꯗꯨꯅꯥ
উৎকদবনি	ꯎꯠꯀꯗꯕꯅꯤ
মণিপুরগীসু	ꯃꯅꯤꯄꯨꯔꯒꯤꯁꯨ
দিল্লরশিং	ꯗꯤꯜꯂꯔꯁꯤꯡ
ক্রেদিবল	ꯀ꯭ꯔꯦꯗꯤꯕꯜ
জৈরকপা	ꯖꯩꯔꯛꯄꯥ
শেমগৎপদা	ꯁꯦꯝꯒꯠꯄꯗꯥ
হিথাংফমশিংগা	ꯍꯤꯊꯥꯡꯐꯝꯁꯤꯡꯒꯥ
রেংপো	ꯔꯦꯡꯄꯣ
নৌননা	ꯅꯧꯅꯅꯥ
অনসু	ꯑꯟꯁꯨ
য়াম্মন্দুন	ꯌꯥꯝꯃꯟꯗꯨꯅ
পোকপা	ꯄꯣꯛꯄꯥ
রিপাব্লিক্কী	ꯔꯤꯄꯥꯕꯂꯤꯛꯀꯤ
তোংখত্লে	ꯇꯣꯡꯈꯠꯂꯦ
শামিন্নবনি	ꯁꯥꯃꯤꯟꯅꯕꯅꯤ
সমাচার	ꯁꯃꯥꯆꯥꯔ
ওপষ্ট্রেত্রিসিয়ান্স	ꯑꯣꯄꯁ꯭ꯇ꯭ꯔꯦꯇ꯭ꯔꯤꯁꯤꯌꯥꯟ꯭ꯁ
ওমিক্রোন	ꯑꯣꯃꯤꯀ꯭ꯔꯣꯟ
অসিমক্	ꯑꯁꯤꯃꯛ
হৌখ্র্রে	ꯍꯧꯈ꯭ꯔꯦ
ফংদে	ꯐꯪꯗꯦ
অসমাগী	ꯑꯁꯃꯥꯒꯤ
পোত্থারিঙৈদা	ꯄꯣꯠꯊꯥꯔꯤꯉꯩꯗꯥ
চাগন্বনি	ꯆꯥꯒꯟꯕꯅꯤ
তুম্লবা	ꯇꯨꯝꯂꯕꯥ
খোংবাল্	ꯈꯣꯡꯕꯥꯜ
ওইদ্রিঙৈগী	ꯑꯣꯢꯗ꯭ꯔꯤꯉꯩꯒꯤ
আরজেন্তিনাবু	ꯑꯥꯔꯖꯦꯟꯇꯤꯅꯥꯕꯨ
হনুবীদা	ꯍꯅꯨꯕꯤꯗꯥ
মালয়ালম	ꯃꯥꯜꯌꯥꯂꯝ
শেমদোকনবা	ꯁꯦꯝꯗꯣꯛꯅꯕꯥ
হাৎতোকপীখিবগী	ꯍꯥꯠꯇꯣꯛꯄꯤꯈꯤꯕꯒꯤ
এফিয়ার্সতা	ꯑꯦꯐꯤꯌꯥꯔ꯭ꯁꯇꯥ
লৈরগদি	ꯂꯩꯔꯒꯗꯤ
প্রিন্টি	ꯄ꯭ꯔꯤꯟꯇꯤ
নোরগেগী	ꯅꯣꯔꯒꯦꯒꯤ
সুভদ্রা	ꯁꯨꯚꯗ꯭ꯔꯥ
য়ৈথোকখ্রবা	ꯌꯩꯊꯣꯛꯈ꯭ꯔꯕꯥ
মেনেজরগী	ꯃꯦꯅꯦꯖꯔꯒꯤ
রাজঘাৎ	ꯔꯥꯖꯘꯥꯠ
মঙ্তাক্	ꯃꯪꯇꯥꯛ
ৱাকত	ꯋꯥꯀꯠ
অসুতোস	ꯑꯁꯨꯇꯣꯁ
য়েংশিন্নবগীদমক	ꯌꯦꯡꯁꯤꯟꯅꯕꯒꯤꯗꯃꯛ
সুমদ্র	ꯁꯨꯝꯗ꯭ꯔ
ৱান	ꯋꯥꯟ
কুত্	ꯀꯨꯠ
নাবাা	ꯅꯥꯕꯥ
লিংখিবনি	ꯂꯤꯡꯈꯤꯕꯅꯤ
এত্রোসিতিজ	ꯑꯦꯇ꯭ꯔꯣꯁꯤꯇꯤꯖ
চৎনজবা	ꯆꯠꯅꯖꯕꯥ
তরামাপলটগ	ꯇꯔꯥꯃꯥꯄꯜꯇꯒ
এসদসু	ꯑꯦꯁꯗꯁꯨ
লিগশিং	ꯂꯤꯒꯁꯤꯡꯡ
তেলৌনা	ꯇꯦꯂꯧꯅꯥ
লোয়নদুনা	ꯂꯣꯌꯅꯗꯨꯅꯥ
কন্দিসন্স	ꯀꯟꯗꯤꯁꯟ꯭ꯁ
বৈগ্যানিক্কী	ꯕꯩꯒ꯭ꯌꯥꯅꯤꯛꯀꯤ
য়োক্পিরো	ꯌꯣꯛꯄꯤꯔꯣ
পুরকপদি	ꯄꯨꯔꯛꯄꯗꯤ
রেলৱেজগীনি	ꯔꯦꯜꯋꯦꯖꯒꯤꯅꯤ
নু্যজনা	ꯅꯨꯖꯖꯅꯥ
শিল্লবা	ꯁꯤꯜꯂꯕꯥ
চাউথোকচবা	ꯆꯥꯎꯊꯣꯛꯆꯕꯥ
মুকুল	ꯃꯨꯀꯨꯜ
আর্টিষ্ট	ꯑꯥꯔꯇꯤꯁ꯭ꯇ
নামসিনরৈ	ꯅꯥꯝꯁꯤꯅꯔꯩ
ভেক্সিনন	ꯚꯦꯛꯁꯤꯟꯅ
রক্ষাদা	ꯔꯛꯁꯥꯗꯥ
চৎনখিবদগী	ꯆꯠꯅꯈꯤꯕꯗꯒꯤ
চঙ্খ্রে	ꯆꯪꯈ꯭ꯔꯦ
মসিতনা	ꯃꯁꯤꯇꯅꯥ
দিসক্বালিফিকেসন	ꯗꯤꯁꯀ꯭ꯋꯥꯂꯤꯐꯤꯀꯦꯁꯟ
জেমিসনকী	ꯖꯦꯃꯤꯁꯟꯀꯤ
লোকেন্দ্রোনচিংবা	ꯂꯣꯀꯦꯟꯗ꯭ꯔꯣꯅꯆꯤꯡꯕꯥ
রেসকোর্সকী	ꯔꯦꯁꯀꯣꯔ꯭ꯁꯀꯤ
ইচাদু	ꯏꯆꯥꯗꯨ
ঈনা	ꯏꯅꯥ
ওফিসিএলশিংনা	ꯑꯣꯐꯤꯁꯤꯑꯜꯁꯤꯡꯅꯥ
ফখ্রবা	ꯐꯈ꯭ꯔꯕꯥ
খোংলক্খি	ꯈꯣꯡꯂꯛꯈꯤ
লুৱাং	ꯂꯨꯋꯥꯡ
লৈমায়দ্গী	ꯂꯩꯃꯥꯢꯗꯒꯤ
হেনগৎহনবনি	ꯍꯦꯟꯒꯠꯍꯟꯕꯅꯤ
তেংবাংগী	ꯇꯦꯡꯕꯥꯡꯒꯤ
চহিনা	ꯆꯍꯤꯅꯥ
নৈনখ্রে	ꯅꯩꯅꯈ꯭ꯔꯦ
পার্সনেলশিংনা	ꯄꯥꯔꯁꯅꯦꯜꯁꯤꯡꯅꯥ
নাইন্তিনগীদমক	ꯅꯥꯢꯟꯇꯤꯟꯒꯤꯗꯃꯛ
হংনবগীদমক	ꯍꯪꯅꯕꯒꯤꯗꯃꯛ
পর্সেনন্তেস	ꯄꯔꯁꯦꯅꯟꯇꯦꯁ
চিংশিন	ꯆꯤꯡꯁꯤꯟ
মগুন	ꯃꯒꯨꯟ
হৌবগী	ꯍꯧꯕꯒꯤ
উবগী	ꯎꯕꯒꯤ
শান্নরগা	ꯁꯥꯟꯅꯔꯒꯥ
ইলিমিনেসন	ꯏꯂꯤꯃꯤꯅꯦꯁꯟ
ফিজাম	ꯐꯤꯖꯥꯝ
জোর্জ	ꯖꯣꯔ꯭ꯖ
খোন্জেল	ꯈꯣꯟꯖꯦꯜ
চন্দ্রখোংদা	ꯆꯟꯗ꯭ꯔꯈꯣꯡꯗꯥ
কোতিত	ꯀꯣꯇꯤꯠ
তেংথারক্এদো	ꯇꯦꯡꯊꯥꯔꯛꯑꯦꯗꯣ
ৱর্য	ꯋꯔꯌ
শিংথানিঙাইবা	ꯁꯤꯡꯊꯥꯅꯤꯉꯥꯢꯕꯥ
কান্নবা	ꯀꯥꯟꯅꯕꯥ
তোপ্লবা	ꯇꯣꯞꯂꯕꯥ
ইন্দষ্ট্রিনা	ꯏꯟꯗꯁ꯭ꯇ꯭ꯔꯤꯅꯥ
ফার্মাসি	ꯐꯥꯔꯃꯥꯁꯤ
য়ান্বা	ꯌꯥꯟꯕꯥ
হিংমিন্নবগী	ꯍꯤꯡꯃꯤꯟꯅꯕꯒꯤ
সমাধিদা	ꯁꯃꯥꯙꯤꯗꯥ
চাশিল্লক্পনা	ꯆꯥꯁꯤꯜꯂꯛꯄꯅꯥ
থাদোরকপা	ꯊꯥꯗꯣꯔꯛꯄꯥ
নেম্বা	ꯅꯦꯝꯕꯥ
মাজাচুংলু	ꯃꯥꯖꯥꯆꯨꯡꯂꯨ
খুদোংচাদবশিংসু	ꯈꯨꯗꯣꯡꯆꯥꯗꯕꯁꯤꯡꯁꯨ
তলাইযান্নর	ꯇꯂꯥꯢꯌꯥꯟꯅꯔ
পোত্থাদুনা	ꯄꯣꯠꯊꯥꯗꯨꯅꯥ
রোনিবালা	ꯔꯣꯅꯤꯕꯥꯂꯥ
খুবা	ꯈꯨꯕꯥ
লুম্দুনা	ꯂꯨꯝꯗꯨꯅꯥ
লৈব্রো	ꯂꯩꯕꯔꯣ
ভবানিপুরদা	ꯚꯕꯥꯅꯤꯄꯨꯔꯗꯥ
বেহিয়াংগী	ꯕꯦꯍꯤꯌꯥꯡꯒꯤ
ৱাফমনচিংবা	ꯋꯥꯐꯝꯅꯆꯤꯡꯕꯥ
শৈথারি	ꯁꯩꯊꯥꯔꯤ
এল্লাইয়েন্সকা	ꯑꯦꯜꯂꯥꯢꯌꯦꯟ꯭ꯁꯀꯥ
কোন্সেনসস	ꯀꯣꯟꯁꯦꯟꯁꯁ
রোবোতিক্স	ꯔꯣꯕꯣꯇꯤꯛ꯭ꯁ
খোংলক্পসিদা	ꯈꯣꯡꯂꯛꯄꯁꯤꯗꯥ
বঙ্কা	ꯕꯪꯀꯥ
তৌবিনীংবা	ꯇꯧꯕꯤꯅꯤꯡꯕꯥ
ফাদে	ꯐꯥꯗꯦ
লোইশিনদনা	ꯂꯣꯢꯁꯤꯟꯗꯅꯥ
চাখিবদু	ꯆꯥꯈꯤꯕꯗꯨ
শানবা	ꯁꯥꯅꯕꯥ
মরমশিং	ꯃꯔꯝꯁꯤꯡ
চৎথোক্তবা	ꯆꯠꯊꯣꯛꯇꯕꯥ
জৈসালমের	ꯖꯩꯁꯥꯜꯃꯦꯔ
পুম্নমক্সি	ꯄꯨꯝꯅꯃꯛꯁꯤ
হায়স্কুলবু	ꯍꯥꯢꯁꯀꯨꯜꯕꯨ
ভিজিলেন্স	ꯚꯤꯖꯤꯂꯦꯟ꯭ꯁ
চাথোক্উরে	ꯆꯥꯊꯣꯛꯎꯔꯦ
অলমন	ꯑꯜꯃꯟ
চাওথোরক্লি	ꯆꯥꯎꯊꯣꯔꯛꯂꯤ
চাক্তু	ꯆꯥꯛꯇꯨ
ইষ্টতা	ꯏꯁ꯭ꯇꯇꯥ
লৌনখ্রে	ꯂꯧꯅꯈ꯭ꯔꯦ
অঙন্বদা	ꯑꯉꯟꯕꯗꯥ
কন্সুলেটকা	ꯀꯟꯁꯨꯂꯦꯠꯀꯥ
য়েংশিলহনখি	ꯌꯦꯡꯁꯤꯜꯍꯟꯈꯤ
কন্জাওনবী	ꯀꯟꯖꯥꯎꯅꯕꯤ
খুনুরৈমবু	ꯈꯨꯅꯨꯔꯩꯃꯕꯨ
পংশান	ꯄꯪꯁꯥꯟ
সুসিলচন্দ্রনা	ꯁꯨꯁꯤꯜꯆꯟꯗ꯭ꯔꯅꯥ
সোলুসন্স	ꯁꯣꯂꯨꯁꯟ꯭ꯁ
কোকপীনবগীদমক	ꯀꯣꯛꯄꯤꯅꯕꯒꯤꯗꯃꯛ
হেনগৎলকপদগীনি	ꯍꯦꯟꯒꯠꯂꯛꯄꯗꯒꯤꯅꯤ
মাওবু	ꯃꯥꯎꯕꯨ
চিংখৎখি	ꯆꯤꯡꯈꯠꯈꯤ
ফখিবগী	ꯐꯈꯤꯕꯒꯤ
নিখক্তদা	ꯅꯤꯈꯛꯇꯗꯥ
কোসেম	ꯀꯣꯁꯦꯝ
পুথোকলগনি	ꯄꯨꯊꯣꯛꯂꯒꯅꯤ
খুঙ্গংগা	ꯈꯨꯡꯒꯪꯒꯥ
কৈদৌনুংদসু	ꯀꯩꯗꯧꯅꯨꯡꯗꯁꯨ
য়োকপীরকখিবা	ꯌꯣꯛꯄꯤꯔꯛꯈꯤꯕꯥ
রম্বান	ꯔꯝꯕꯥꯟ
পীয়ু	ꯄꯤꯌꯨ
রোজিনা	ꯔꯣꯖꯤꯅꯥ
ফগৎলকলে	ꯐꯒꯠꯂꯛꯂꯦ
নিমাইগী	ꯅꯤꯃꯥꯢꯒꯤ
সঙ্গথন	ꯁꯪꯒꯊꯟ
সেলুলোইট	ꯁꯦꯂꯨꯂꯣꯢꯠ
নিংথৌকাবা	ꯅꯤꯡꯊꯧꯀꯥꯕꯥ
লাংশিং	ꯂꯥꯡꯁꯤꯡ
ফংলক্পা	ꯐꯪꯂꯛꯄꯥ
অমবু	ꯑꯃꯕꯨ
রিপ্লেসসিং	ꯔꯤꯄ꯭ꯂꯦꯁꯁꯤꯡ
শেন্দোই	ꯁꯦꯟꯗꯣꯢ
শুখ্রবা	ꯁꯨꯈ꯭ꯔꯕꯥ
দিমান্দস	ꯗꯤꯃꯥꯟ꯭ꯗꯁ
কুহ্মৈ	ꯀꯨꯍꯃꯩ
জানিকি	ꯖꯥꯅꯤꯀꯤ
প্রোগ্রেসিভ	ꯄ꯭ꯔꯣꯒ꯭ꯔꯦꯁꯤꯚ
মালিগাউদা	ꯃꯥꯂꯤꯒꯥꯎꯗꯥ
সিরোমোনি	ꯁꯤꯔꯣꯃꯣꯅꯤ
থম্বীনা	ꯊꯝꯕꯤꯅꯥ
দ্রাফটিং	ꯗ꯭ꯔꯥꯐꯇꯤꯡ
খুরদা	ꯈꯨꯔꯗꯥ
লোত্পদগী	ꯂꯣꯠꯄꯗꯒꯤ
নেম্লিবা	ꯅꯦꯝꯂꯤꯕꯥ
ইবোহলবি	ꯏꯕꯣꯍꯜꯕꯤ
রোমগা	ꯔꯣꯝꯒꯥ
কন্সরট	ꯀꯟꯁꯔꯠ
শান্নখিবা	ꯁꯥꯟꯅꯈꯤꯕꯥ
অপনদি	ꯑꯄꯟꯗꯤ
তপ	ꯇꯞ
লেন্দস্লাইদনচিংবসু	ꯂꯦꯟ꯭ꯗꯁ꯭ꯂꯥꯢꯗꯅꯆꯤꯡꯕꯁꯨ
কৃষ্ণরাও	ꯀ꯭ꯔꯤꯁꯅꯔꯥꯎ
তম্বীরিব্রা	ꯇꯝꯕꯤꯔꯤꯕ꯭ꯔꯥ
জেনিট	ꯖꯦꯅꯤꯠ
ওলিম্পিয়ানশিংবু	ꯑꯣꯂꯤꯝꯄꯤꯌꯥꯟꯁꯤꯡꯕꯨ
ফনদুম	ꯐꯟꯗꯨꯝ
মচাগা	ꯃꯆꯥꯒꯥ
নঙগুম্বা	ꯅꯪꯒꯨꯝꯕꯥ
য়ুনিভরসিতিজনা	ꯌꯨꯅꯤꯚꯔꯁꯤꯇꯤꯖꯅꯥ
ব্রাঞ্চনসু	ꯕ꯭ꯔꯥꯟ꯭ꯆꯅꯁꯨ
ইষ্টরবু	ꯏꯁꯇꯔꯕꯨ
কুলকারানি	ꯀꯨꯜꯀꯥꯔꯥꯅꯤ
কোর্পোরেসনদা	ꯀꯣꯔꯄꯣꯔꯦꯁꯟꯗꯥ
তাংধার	ꯇꯥꯡꯙꯥꯔ
খোঙবান	ꯈꯣꯡꯕꯥꯟ
শাজত	ꯁꯥꯖꯠ
পোরোমপাৎতা	ꯄꯣꯔꯣꯝꯄꯥꯠꯇꯥ
থৌওংশিং	ꯊꯧꯑꯣꯡꯁꯤꯡ
সরপঞ্চকীদমক	ꯁꯔꯄꯟ꯭ꯆꯀꯤꯗꯃꯛ
আফগানশিং	ꯑꯥꯐꯒꯥꯟꯁꯤꯡ
পঙথোকখিবা	ꯄꯪꯊꯣꯛꯈꯤꯕꯥ
