2025-05-12 18:13:56,385 (xlit_task:132)  INFO: Data Information:
2025-05-12 19:46:02,179 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:46:02,180 (xlit_task:190)  INFO: Epoch 28/50
2025-05-12 19:49:00,069 (xlit_task:200)  INFO: Train Loss: 0.0061
2025-05-12 19:49:19,804 (xlit_task:238)  INFO: Val Loss: 0.0080, CER: 0.0208, Word Accuracy: 0.8992
2025-05-12 19:49:19,805 (xlit_task:249)  INFO: Epoch 28 duration: 197.62 sec | ETA: 01:12:27
2025-05-12 19:49:19,811 (save:32)  INFO: Saved best training loss model at epoch 28.
2025-05-12 19:49:19,817 (save:48)  INFO: Saved latest model at epoch 28.
2025-05-12 19:49:21,038 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:49:21,039 (xlit_task:190)  INFO: Epoch 29/50
2025-05-12 19:52:22,003 (xlit_task:200)  INFO: Train Loss: 0.0059
2025-05-12 19:52:41,905 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 29.
2025-05-12 19:52:41,906 (xlit_task:238)  INFO: Val Loss: 0.0075, CER: 0.0200, Word Accuracy: 0.9021
2025-05-12 19:52:41,906 (xlit_task:249)  INFO: Epoch 29 duration: 200.87 sec | ETA: 01:10:18
2025-05-12 19:52:41,911 (save:32)  INFO: Saved best training loss model at epoch 29.
2025-05-12 19:52:41,916 (save:38)  INFO: Saved best validation loss model at epoch 29.
2025-05-12 19:52:41,921 (save:44)  INFO: Saved best word accuracy model at epoch 29.
2025-05-12 19:52:41,926 (save:48)  INFO: Saved latest model at epoch 29.
2025-05-12 19:52:41,928 (save:73)  INFO: Removed evicted model from epoch 23.
2025-05-12 19:52:43,153 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:52:43,154 (xlit_task:190)  INFO: Epoch 30/50
2025-05-12 19:55:43,966 (xlit_task:200)  INFO: Train Loss: 0.0056
2025-05-12 19:56:04,120 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 30.
2025-05-12 19:56:04,121 (xlit_task:238)  INFO: Val Loss: 0.0077, CER: 0.0198, Word Accuracy: 0.9041
2025-05-12 19:56:04,123 (xlit_task:249)  INFO: Epoch 30 duration: 200.97 sec | ETA: 01:06:59
2025-05-12 19:56:04,129 (save:32)  INFO: Saved best training loss model at epoch 30.
2025-05-12 19:56:04,134 (save:44)  INFO: Saved best word accuracy model at epoch 30.
2025-05-12 19:56:04,140 (save:48)  INFO: Saved latest model at epoch 30.
2025-05-12 19:56:04,143 (save:73)  INFO: Removed evicted model from epoch 24.
2025-05-12 19:56:05,380 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:56:05,381 (xlit_task:190)  INFO: Epoch 31/50
2025-05-12 19:59:04,896 (xlit_task:200)  INFO: Train Loss: 0.0054
2025-05-12 19:59:25,182 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 31.
2025-05-12 19:59:25,183 (xlit_task:238)  INFO: Val Loss: 0.0073, CER: 0.0193, Word Accuracy: 0.9058
2025-05-12 19:59:25,184 (xlit_task:249)  INFO: Epoch 31 duration: 199.80 sec | ETA: 01:03:16
2025-05-12 19:59:25,190 (save:32)  INFO: Saved best training loss model at epoch 31.
2025-05-12 19:59:25,197 (save:38)  INFO: Saved best validation loss model at epoch 31.
2025-05-12 19:59:25,202 (save:44)  INFO: Saved best word accuracy model at epoch 31.
2025-05-12 19:59:25,207 (save:48)  INFO: Saved latest model at epoch 31.
2025-05-12 19:59:25,210 (save:73)  INFO: Removed evicted model from epoch 22.
2025-05-12 19:59:26,445 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:59:26,446 (xlit_task:190)  INFO: Epoch 32/50
2025-05-12 20:02:25,286 (xlit_task:200)  INFO: Train Loss: 0.0054
2025-05-12 20:02:44,885 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 32.
2025-05-12 20:02:44,886 (xlit_task:238)  INFO: Val Loss: 0.0075, CER: 0.0190, Word Accuracy: 0.9067
2025-05-12 20:02:44,888 (xlit_task:249)  INFO: Epoch 32 duration: 198.44 sec | ETA: 00:59:31
2025-05-12 20:02:44,894 (save:32)  INFO: Saved best training loss model at epoch 32.
2025-05-12 20:02:44,900 (save:44)  INFO: Saved best word accuracy model at epoch 32.
2025-05-12 20:02:44,906 (save:48)  INFO: Saved latest model at epoch 32.
2025-05-12 20:02:44,908 (save:73)  INFO: Removed evicted model from epoch 25.
2025-05-12 20:02:46,149 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:02:46,150 (xlit_task:190)  INFO: Epoch 33/50
2025-05-12 20:05:48,100 (xlit_task:200)  INFO: Train Loss: 0.0054
2025-05-12 20:06:08,260 (xlit_task:238)  INFO: Val Loss: 0.0074, CER: 0.0188, Word Accuracy: 0.9066
2025-05-12 20:06:08,262 (xlit_task:249)  INFO: Epoch 33 duration: 202.11 sec | ETA: 00:57:15
2025-05-12 20:06:08,268 (save:48)  INFO: Saved latest model at epoch 33.
2025-05-12 20:06:08,271 (save:73)  INFO: Removed evicted model from epoch 27.
2025-05-12 20:06:09,510 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:06:09,512 (xlit_task:190)  INFO: Epoch 34/50
2025-05-12 20:09:09,739 (xlit_task:200)  INFO: Train Loss: 0.0051
2025-05-12 20:09:29,975 (xlit_task:238)  INFO: Val Loss: 0.0074, CER: 0.0191, Word Accuracy: 0.9063
2025-05-12 20:09:29,976 (xlit_task:249)  INFO: Epoch 34 duration: 200.46 sec | ETA: 00:53:27
2025-05-12 20:09:29,983 (save:32)  INFO: Saved best training loss model at epoch 34.
2025-05-12 20:09:29,988 (save:48)  INFO: Saved latest model at epoch 34.
2025-05-12 20:09:29,991 (save:73)  INFO: Removed evicted model from epoch 30.
2025-05-12 20:09:31,229 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:09:31,230 (xlit_task:190)  INFO: Epoch 35/50
2025-05-12 20:12:33,252 (xlit_task:200)  INFO: Train Loss: 0.0052
2025-05-12 20:12:52,954 (xlit_task:238)  INFO: Val Loss: 0.0077, CER: 0.0197, Word Accuracy: 0.9016
2025-05-12 20:12:52,956 (xlit_task:249)  INFO: Epoch 35 duration: 201.73 sec | ETA: 00:50:25
2025-05-12 20:12:52,962 (save:48)  INFO: Saved latest model at epoch 35.
2025-05-12 20:12:54,202 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:12:54,204 (xlit_task:190)  INFO: Epoch 36/50
2025-05-12 20:15:52,961 (xlit_task:200)  INFO: Train Loss: 0.0049
2025-05-12 20:16:13,229 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 36.
2025-05-12 20:16:13,230 (xlit_task:238)  INFO: Val Loss: 0.0072, CER: 0.0181, Word Accuracy: 0.9102
2025-05-12 20:16:13,232 (xlit_task:249)  INFO: Epoch 36 duration: 199.03 sec | ETA: 00:46:26
2025-05-12 20:16:13,238 (save:32)  INFO: Saved best training loss model at epoch 36.
2025-05-12 20:16:13,245 (save:38)  INFO: Saved best validation loss model at epoch 36.
2025-05-12 20:16:13,250 (save:44)  INFO: Saved best word accuracy model at epoch 36.
2025-05-12 20:16:13,256 (save:48)  INFO: Saved latest model at epoch 36.
2025-05-12 20:16:13,258 (save:73)  INFO: Removed evicted model from epoch 29.
2025-05-12 20:16:14,510 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:16:14,511 (xlit_task:190)  INFO: Epoch 37/50
2025-05-12 20:19:12,763 (xlit_task:200)  INFO: Train Loss: 0.0050
2025-05-12 20:19:33,046 (xlit_task:238)  INFO: Val Loss: 0.0074, CER: 0.0185, Word Accuracy: 0.9066
2025-05-12 20:19:33,048 (xlit_task:249)  INFO: Epoch 37 duration: 198.54 sec | ETA: 00:43:00
2025-05-12 20:19:33,053 (save:48)  INFO: Saved latest model at epoch 37.
2025-05-12 20:19:33,055 (save:73)  INFO: Removed evicted model from epoch 32.
2025-05-12 20:19:34,305 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:19:34,306 (xlit_task:190)  INFO: Epoch 38/50
2025-05-12 20:22:32,824 (xlit_task:200)  INFO: Train Loss: 0.0048
2025-05-12 20:22:53,009 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 38.
2025-05-12 20:22:53,011 (xlit_task:238)  INFO: Val Loss: 0.0073, CER: 0.0179, Word Accuracy: 0.9112
2025-05-12 20:22:53,012 (xlit_task:249)  INFO: Epoch 38 duration: 198.71 sec | ETA: 00:39:44
2025-05-12 20:22:53,018 (save:32)  INFO: Saved best training loss model at epoch 38.
2025-05-12 20:22:53,023 (save:44)  INFO: Saved best word accuracy model at epoch 38.
2025-05-12 20:22:53,029 (save:48)  INFO: Saved latest model at epoch 38.
2025-05-12 20:22:53,032 (save:73)  INFO: Removed evicted model from epoch 34.
2025-05-12 20:22:54,279 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:22:54,280 (xlit_task:190)  INFO: Epoch 39/50
2025-05-12 20:25:54,662 (xlit_task:200)  INFO: Train Loss: 0.0046
2025-05-12 20:26:14,902 (xlit_task:238)  INFO: Val Loss: 0.0073, CER: 0.0184, Word Accuracy: 0.9090
2025-05-12 20:26:14,903 (xlit_task:249)  INFO: Epoch 39 duration: 200.62 sec | ETA: 00:36:46
2025-05-12 20:26:14,909 (save:32)  INFO: Saved best training loss model at epoch 39.
2025-05-12 20:26:14,915 (save:48)  INFO: Saved latest model at epoch 39.
2025-05-12 20:26:14,918 (save:73)  INFO: Removed evicted model from epoch 37.
2025-05-12 20:26:16,168 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:26:16,169 (xlit_task:190)  INFO: Epoch 40/50
2025-05-12 20:29:21,020 (xlit_task:200)  INFO: Train Loss: 0.0043
2025-05-12 20:29:41,918 (xlit_task:238)  INFO: Val Loss: 0.0072, CER: 0.0179, Word Accuracy: 0.9109
2025-05-12 20:29:41,920 (xlit_task:249)  INFO: Epoch 40 duration: 205.75 sec | ETA: 00:34:17
2025-05-12 20:29:41,926 (save:32)  INFO: Saved best training loss model at epoch 40.
2025-05-12 20:29:41,932 (save:48)  INFO: Saved latest model at epoch 40.
2025-05-12 20:29:41,935 (save:73)  INFO: Removed evicted model from epoch 33.
2025-05-12 20:29:43,199 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:29:43,200 (xlit_task:190)  INFO: Epoch 41/50
2025-05-12 20:32:45,705 (xlit_task:200)  INFO: Train Loss: 0.0044
2025-05-12 20:33:05,777 (xlit_task:238)  INFO: Val Loss: 0.0078, CER: 0.0203, Word Accuracy: 0.9011
2025-05-12 20:33:05,778 (xlit_task:249)  INFO: Epoch 41 duration: 202.58 sec | ETA: 00:30:23
2025-05-12 20:33:05,785 (save:48)  INFO: Saved latest model at epoch 41.
2025-05-12 20:33:07,328 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:33:07,328 (xlit_task:190)  INFO: Epoch 42/50
2025-05-12 20:36:08,630 (xlit_task:200)  INFO: Train Loss: 0.0044
2025-05-12 20:36:28,781 (xlit_task:238)  INFO: Val Loss: 0.0074, CER: 0.0183, Word Accuracy: 0.9103
2025-05-12 20:36:28,782 (xlit_task:249)  INFO: Epoch 42 duration: 201.45 sec | ETA: 00:26:51
2025-05-12 20:36:28,789 (save:48)  INFO: Saved latest model at epoch 42.
2025-05-12 20:36:29,987 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:36:29,988 (xlit_task:190)  INFO: Epoch 43/50
2025-05-12 20:39:28,985 (xlit_task:200)  INFO: Train Loss: 0.0042
2025-05-12 20:39:49,132 (xlit_task:238)  INFO: Val Loss: 0.0076, CER: 0.0185, Word Accuracy: 0.9075
2025-05-12 20:39:49,134 (xlit_task:249)  INFO: Epoch 43 duration: 199.15 sec | ETA: 00:23:14
2025-05-12 20:39:49,140 (save:32)  INFO: Saved best training loss model at epoch 43.
2025-05-12 20:39:49,145 (save:48)  INFO: Saved latest model at epoch 43.
2025-05-12 20:39:50,282 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:39:50,283 (xlit_task:190)  INFO: Epoch 44/50
2025-05-12 20:42:49,247 (xlit_task:200)  INFO: Train Loss: 0.0042
2025-05-12 20:43:09,547 (xlit_task:238)  INFO: Val Loss: 0.0072, CER: 0.0180, Word Accuracy: 0.9110
2025-05-12 20:43:09,548 (xlit_task:249)  INFO: Epoch 44 duration: 199.27 sec | ETA: 00:19:55
2025-05-12 20:43:09,554 (save:48)  INFO: Saved latest model at epoch 44.
2025-05-12 20:43:09,556 (save:73)  INFO: Removed evicted model from epoch 38.
2025-05-12 20:43:10,693 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:43:10,694 (xlit_task:190)  INFO: Epoch 45/50
2025-05-12 20:46:08,744 (xlit_task:200)  INFO: Train Loss: 0.0040
2025-05-12 20:46:31,302 (xlit_task:238)  INFO: Val Loss: 0.0075, CER: 0.0180, Word Accuracy: 0.9077
2025-05-12 20:46:31,304 (xlit_task:249)  INFO: Epoch 45 duration: 200.61 sec | ETA: 00:16:43
2025-05-12 20:46:31,310 (save:32)  INFO: Saved best training loss model at epoch 45.
2025-05-12 20:46:31,315 (save:48)  INFO: Saved latest model at epoch 45.
2025-05-12 20:46:32,497 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:46:32,498 (xlit_task:190)  INFO: Epoch 46/50
2025-05-12 20:49:32,760 (xlit_task:200)  INFO: Train Loss: 0.0041
2025-05-12 20:49:52,683 (xlit_task:238)  INFO: Val Loss: 0.0075, CER: 0.0185, Word Accuracy: 0.9085
2025-05-12 20:49:52,685 (xlit_task:249)  INFO: Epoch 46 duration: 200.19 sec | ETA: 00:13:20
2025-05-12 20:49:52,691 (save:48)  INFO: Saved latest model at epoch 46.
2025-05-12 20:49:53,897 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:49:53,898 (xlit_task:190)  INFO: Epoch 47/50
2025-05-12 20:52:53,571 (xlit_task:200)  INFO: Train Loss: 0.0038
2025-05-12 20:53:13,848 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 47.
2025-05-12 20:53:13,850 (xlit_task:238)  INFO: Val Loss: 0.0073, CER: 0.0173, Word Accuracy: 0.9129
2025-05-12 20:53:13,851 (xlit_task:249)  INFO: Epoch 47 duration: 199.95 sec | ETA: 00:09:59
2025-05-12 20:53:13,857 (save:32)  INFO: Saved best training loss model at epoch 47.
2025-05-12 20:53:13,864 (save:44)  INFO: Saved best word accuracy model at epoch 47.
2025-05-12 20:53:13,869 (save:48)  INFO: Saved latest model at epoch 47.
2025-05-12 20:53:13,872 (save:73)  INFO: Removed evicted model from epoch 39.
2025-05-12 20:53:15,076 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:53:15,077 (xlit_task:190)  INFO: Epoch 48/50
2025-05-12 20:56:13,907 (xlit_task:200)  INFO: Train Loss: 0.0037
2025-05-12 20:56:34,187 (xlit_task:238)  INFO: Val Loss: 0.0076, CER: 0.0181, Word Accuracy: 0.9092
2025-05-12 20:56:34,189 (xlit_task:249)  INFO: Epoch 48 duration: 199.11 sec | ETA: 00:06:38
2025-05-12 20:56:34,196 (save:32)  INFO: Saved best training loss model at epoch 48.
2025-05-12 20:56:34,201 (save:48)  INFO: Saved latest model at epoch 48.
2025-05-12 20:56:35,401 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:56:35,403 (xlit_task:190)  INFO: Epoch 49/50
2025-05-12 20:59:34,480 (xlit_task:200)  INFO: Train Loss: 0.0037
2025-05-12 20:59:54,848 (xlit_task:238)  INFO: Val Loss: 0.0070, CER: 0.0180, Word Accuracy: 0.9092
2025-05-12 20:59:54,850 (xlit_task:249)  INFO: Epoch 49 duration: 199.45 sec | ETA: 00:03:19
2025-05-12 20:59:54,857 (save:32)  INFO: Saved best training loss model at epoch 49.
2025-05-12 20:59:54,862 (save:38)  INFO: Saved best validation loss model at epoch 49.
2025-05-12 20:59:54,868 (save:48)  INFO: Saved latest model at epoch 49.
2025-05-12 20:59:54,870 (save:73)  INFO: Removed evicted model from epoch 47.
2025-05-12 20:59:56,089 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 20:59:56,090 (xlit_task:190)  INFO: Epoch 50/50
2025-05-12 21:02:59,270 (xlit_task:200)  INFO: Train Loss: 0.0036
2025-05-12 21:03:20,140 (xlit_task:238)  INFO: Val Loss: 0.0077, CER: 0.0188, Word Accuracy: 0.9058
2025-05-12 21:03:20,142 (xlit_task:249)  INFO: Epoch 50 duration: 204.05 sec | ETA: 00:00:00
2025-05-12 21:03:20,149 (save:32)  INFO: Saved best training loss model at epoch 50.
2025-05-12 21:03:20,155 (save:48)  INFO: Saved latest model at epoch 50.
2025-05-12 21:03:20,171 (save:84)  INFO: Saved averaged model at the end of training.
2025-05-12 21:03:21,342 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 21:03:21,343 (xlit_task:283)  INFO: Training completed in 169:00:25
